Heat,Part,label,label_id,SN,Fld,Intensity,Davg,Dcirc,Dmax,Dmin,Dperp,Aspect,Area,Perim,Roundness,Elongation,Pixel.Size...m.per.pixel.,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254,g255,image_path,split
3,11493,oxide,1,3-11493,98,83,3.815,3.582,4.15,3.436,3.629,1.1,10.079,13.963,0.74,0.87,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,5,3,2,13,4,4,6,15,13,9,16,17,19,10,21,24,32,24,26,23,28,26,23,24,25,21,29,20,26,20,12,16,16,15,17,5,10,10,13,9,7,5,10,8,6,8,9,4,6,6,4,5,5,9,3,7,8,5,3,8,1,3,4,4,6,4,4,5,4,8,5,6,7,7,6,6,2,5,6,11,1,6,7,5,4,5,3,2,4,8,2,3,6,4,5,5,4,8,6,4,3,2,1,6,4,8,7,2,6,6,3,3,7,3,4,3,6,3,5,3,4,7,7,7,7,3,8,1,8,7,12,5,6,4,3,5,9,10,10,14,16,13,17,15,28,25,40,52,59,84,90,104,157,171,206,293,274,309,354,432,465,517,600,591,649,628,706,702,727,710,654,665,608,528,533,420,411,362,357,303,240,234,156,141,143,81,71,62,45,31,33,30,17,8,6,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/11493.TIF,train
4,2300,non-inclusion,0,4-2300,27,95,3.197,2.373,4.361,1.596,1.596,2.7,4.424,11.561,0.3,0.37,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,4,4,6,1,3,2,2,5,6,7,2,1,2,3,3,4,8,8,6,2,5,7,6,7,6,8,5,7,5,5,3,7,4,3,4,1,6,9,5,1,5,4,6,2,2,4,5,3,3,5,2,8,2,4,2,4,2,6,6,6,1,1,6,4,3,4,3,7,5,0,4,8,0,4,5,2,3,5,7,5,4,4,7,8,2,2,2,3,2,2,4,6,4,2,4,4,6,1,2,1,3,4,2,1,6,3,4,2,5,4,4,3,2,3,3,7,3,7,2,5,9,6,1,6,2,5,4,4,2,4,10,4,9,5,5,9,13,15,33,32,48,55,74,84,124,147,182,214,304,355,371,417,497,542,594,649,683,711,764,735,755,741,764,681,657,662,582,530,464,432,354,317,247,198,182,151,118,84,64,49,32,26,17,16,11,12,5,6,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_4/imgs/02300.TIF,train
1,16550,non-inclusion,0,1-16550,53,160,2.016,1.524,2.458,1.253,1.581,1.6,1.825,11.352,0.38,0.64,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,3,4,5,3,9,4,7,7,9,9,5,5,7,9,8,10,13,18,13,14,14,21,19,13,13,18,26,20,17,22,20,34,21,33,28,23,29,26,42,37,33,58,48,58,67,87,83,99,139,136,209,211,247,276,325,363,372,481,494,516,603,576,690,712,675,697,722,661,633,670,578,587,551,445,433,367,336,275,235,213,136,132,107,80,84,51,53,31,26,21,14,11,9,9,7,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/16550.TIF,train
1,11097,non-inclusion,0,1-11097,36,95,1.981,1.867,2.136,1.803,1.874,1.1,2.737,6.828,0.76,0.88,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,1,1,3,1,7,3,1,6,4,1,1,5,1,3,0,2,5,8,2,4,6,1,3,1,0,3,5,3,1,5,3,5,3,3,5,4,1,6,2,4,1,5,6,1,4,0,2,3,1,2,1,4,0,2,2,2,2,1,4,1,1,2,2,3,2,1,2,1,3,3,2,1,6,1,0,0,4,1,2,0,0,0,2,1,1,1,1,1,2,3,3,1,1,3,3,4,1,4,3,2,2,2,2,3,1,2,1,2,0,2,0,2,2,2,1,0,3,3,2,1,2,2,3,3,3,2,2,1,3,3,4,2,2,1,2,5,7,8,7,6,4,14,14,21,31,21,41,64,78,102,103,145,177,221,261,325,346,424,440,555,564,616,711,734,726,708,740,722,736,702,705,641,558,529,503,453,399,356,296,218,231,187,131,102,92,52,48,45,36,29,29,14,9,10,2,3,3,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/11097.TIF,train
1,16164,oxide,1,1-16164,51,101,2.321,2.122,2.613,2.108,2.171,1.2,3.537,8.982,0.66,0.83,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,2,1,3,3,2,2,1,3,3,3,6,3,3,2,5,7,1,3,0,5,2,3,1,4,1,4,0,6,2,2,4,1,2,3,3,2,1,4,1,0,4,0,3,4,4,0,3,0,1,2,7,2,1,2,0,3,1,1,3,5,2,3,5,0,3,2,3,4,3,3,2,3,4,2,4,2,2,1,1,2,6,3,2,3,3,1,1,0,0,2,3,0,6,1,1,0,3,1,2,1,3,2,3,2,2,3,7,4,3,11,4,1,0,0,4,4,4,4,2,3,4,2,2,4,2,6,5,1,6,1,2,3,3,4,3,5,4,5,3,6,6,5,4,7,4,0,1,3,6,1,5,2,3,10,5,6,14,12,13,18,25,35,45,54,73,110,101,125,159,206,227,276,350,406,444,453,523,583,646,679,687,718,713,745,687,701,689,677,597,563,524,470,428,378,322,291,220,189,164,126,103,91,76,48,37,33,21,27,9,8,6,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,data/raw/heat_1/imgs/16164.TIF,train
4,3778,oxide,1,4-3778,41,74,6.853,6.5,7.438,6.03,6.476,1.1,33.18,26.035,0.76,0.87,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,6,0,8,1,6,10,20,19,18,26,22,30,36,42,43,47,51,49,47,48,56,63,44,50,55,53,57,56,52,55,58,44,46,63,45,48,52,40,41,50,43,31,33,36,41,32,28,39,23,31,34,31,29,21,27,37,30,21,29,29,43,36,28,37,27,43,38,35,51,39,42,43,31,50,36,43,43,38,41,43,33,41,42,35,39,38,28,48,21,23,22,29,24,25,12,17,17,17,13,13,10,8,8,12,6,5,3,12,8,11,15,7,15,5,6,9,5,14,10,7,4,9,12,3,11,7,4,11,5,9,8,4,13,8,10,7,4,7,7,11,7,5,8,5,9,13,10,15,12,8,15,12,14,16,18,15,30,36,33,53,67,69,103,112,162,167,211,247,242,351,394,371,460,417,528,531,531,540,548,517,557,560,558,498,452,406,386,340,303,265,239,195,177,155,107,94,82,58,69,40,30,15,15,10,10,4,0,6,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_4/imgs/03778.TIF,train
3,4823,oxy-sulfide,3,3-4823,49,100,3.944,3.76,4.179,3.644,3.881,1.1,11.103,14.651,0.81,0.93,0.092773437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,4,5,11,10,10,11,6,12,11,9,15,10,7,8,13,11,6,12,4,8,13,10,9,6,8,9,9,7,2,11,7,7,7,7,7,3,3,7,8,8,3,7,8,7,5,14,9,13,8,10,9,7,12,9,13,15,12,13,8,13,21,16,16,17,18,19,22,19,16,15,27,24,20,23,14,14,15,16,10,10,4,10,13,10,7,6,12,11,13,9,5,7,7,4,7,5,6,3,4,6,7,5,12,6,9,5,5,6,3,7,11,7,9,7,3,6,5,10,6,5,8,6,3,6,6,8,5,10,11,7,7,4,9,6,20,4,7,8,14,14,22,20,27,34,45,53,71,97,112,147,146,201,237,303,297,364,427,450,506,554,597,628,654,685,657,668,654,661,650,629,557,529,503,439,407,372,270,274,239,196,151,120,85,75,55,39,38,31,14,22,6,9,6,4,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/04823.TIF,train
3,144,oxide,1,3-144,3,89,2.975,2.828,3.144,2.718,2.907,1.1,6.283,10.751,0.81,0.92,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,7,8,13,19,12,8,17,12,6,19,14,4,15,9,11,10,10,7,6,6,6,8,6,4,4,8,2,4,5,8,9,3,4,2,4,3,2,4,5,4,5,3,4,4,6,4,1,4,2,4,0,3,7,2,4,2,7,1,0,1,5,4,3,5,3,1,4,10,3,2,2,5,1,5,6,5,2,4,6,3,6,4,2,2,4,8,2,6,2,4,7,6,2,6,3,4,1,4,1,1,5,2,3,5,5,5,3,12,7,6,7,4,3,3,2,2,9,0,1,3,5,2,4,8,4,5,5,3,3,3,4,8,7,4,7,4,7,3,3,11,6,9,6,11,7,13,14,12,24,27,36,37,52,72,86,100,140,155,219,253,253,345,382,465,488,551,574,631,681,692,664,798,714,676,704,610,627,608,551,482,453,415,339,292,269,242,174,153,119,102,74,67,58,44,21,21,12,9,10,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/00144.TIF,train
3,8851,oxide,1,3-8851,78,73,32.437,25.474,40.875,16.769,24.589,1.7,509.657,112.503,0.39,0.6,0.790788013,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,2,1,1,1,0,3,3,2,1,2,1,1,2,1,6,2,0,4,4,1,4,7,7,6,3,8,1,6,6,9,6,13,10,9,15,16,13,10,14,10,33,26,19,18,31,35,36,50,33,38,38,42,29,36,42,34,19,19,22,18,15,14,6,10,9,10,8,6,9,6,2,5,6,5,4,1,3,3,2,2,1,2,4,1,6,2,6,2,1,3,1,2,4,0,1,2,1,2,1,3,2,0,0,1,2,3,1,2,2,2,1,1,2,5,1,1,0,1,3,0,2,0,0,2,2,0,1,2,0,2,2,2,1,2,1,1,2,1,3,1,3,3,2,5,4,3,3,4,4,3,12,11,14,22,31,35,39,58,94,124,136,132,203,238,289,342,366,426,458,528,591,620,667,702,698,723,727,705,695,658,622,609,507,508,395,368,319,284,234,208,192,164,112,88,82,54,59,36,33,17,15,12,11,3,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/08851.TIF,train
1,16977,oxide,1,1-16977,57,89,2.634,2.453,2.794,2.496,2.527,1.1,4.725,10.271,0.77,0.9,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,3,8,2,7,5,5,9,10,6,3,4,6,5,5,6,3,2,3,12,6,3,10,5,0,3,2,8,3,7,3,2,2,4,5,5,3,3,5,2,5,2,2,5,3,4,3,1,4,0,3,3,4,4,1,6,2,2,1,5,1,2,0,6,0,2,4,6,2,2,1,1,3,4,2,1,2,3,2,1,0,2,3,2,1,1,4,7,1,1,2,4,4,2,2,6,2,3,4,1,1,4,4,5,3,0,4,2,7,1,4,3,3,6,4,1,1,0,1,8,2,2,0,3,5,2,1,3,10,4,0,2,1,4,4,8,10,2,1,1,7,2,6,3,4,2,4,4,5,3,3,4,4,10,8,3,7,3,3,9,10,12,20,24,16,34,36,60,73,101,121,150,191,219,272,287,321,384,486,523,562,583,611,704,719,770,748,700,742,735,701,618,586,502,478,468,381,353,277,238,198,181,137,126,71,71,46,44,31,21,21,12,16,8,3,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/16977.TIF,train
4,895,oxy-sulfide,3,4-895,12,78,2.021,1.878,2.35,1.67,1.743,1.3,2.771,6.85,0.64,0.74,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,3,5,5,1,6,3,4,2,6,4,3,8,4,4,3,6,4,4,3,3,3,1,4,5,4,5,6,1,3,2,2,2,2,2,1,2,1,3,4,2,2,2,2,1,4,3,3,2,1,0,1,1,1,1,0,1,3,2,0,0,1,3,3,0,2,1,2,3,1,0,1,2,2,3,0,2,1,3,2,1,1,1,1,1,2,0,3,1,1,4,3,5,3,0,0,2,3,2,2,0,0,1,2,2,1,3,0,2,1,2,5,3,1,1,2,5,0,1,1,0,1,2,2,0,3,5,2,4,3,2,2,4,4,1,2,1,0,1,2,3,1,3,3,2,2,3,2,3,6,3,1,2,4,3,2,4,9,17,15,21,28,24,53,42,81,87,117,171,156,208,270,328,356,462,463,568,584,647,680,777,750,770,782,745,764,727,674,616,604,509,457,397,360,330,263,237,193,152,140,82,74,61,42,29,32,18,17,10,11,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_4/imgs/00895.TIF,train
4,897,non-inclusion,0,4-897,12,91,1.815,1.717,1.884,1.71,1.78,1.1,2.315,5.878,0.83,0.94,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,0,3,5,4,3,5,4,3,6,1,1,4,6,4,4,5,6,4,2,7,5,3,5,6,3,5,4,1,2,2,4,1,1,1,2,2,2,2,2,1,5,1,2,2,2,6,1,1,2,4,2,4,0,5,0,1,1,0,5,0,3,0,2,1,3,3,0,0,2,1,2,1,3,3,0,4,2,0,2,2,0,3,0,1,1,2,1,3,1,2,2,3,3,4,0,4,2,0,1,2,1,1,2,0,0,1,1,0,2,2,1,3,3,2,3,2,1,3,2,1,5,4,1,3,4,5,7,13,11,8,18,23,23,36,54,66,93,110,163,197,225,259,324,402,451,481,551,599,660,726,720,752,739,759,779,765,719,701,614,558,534,482,448,383,275,266,204,182,165,131,97,103,46,40,37,25,15,17,8,4,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_4/imgs/00897.TIF,train
1,7056,non-inclusion,0,1-7056,23,139,5.334,4.619,5.702,4.898,5.235,1.1,16.758,36.736,0.66,0.92,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4,3,2,2,4,3,2,3,5,3,5,3,6,5,9,2,5,6,3,6,8,5,4,8,4,15,12,7,5,15,13,12,8,11,10,9,11,16,11,9,18,15,15,13,12,14,22,11,14,11,18,17,21,16,23,10,19,13,18,20,17,20,18,22,29,26,17,23,19,29,19,18,24,26,29,27,27,34,26,27,26,42,31,36,37,42,29,25,33,39,41,44,32,39,36,41,43,45,40,47,41,36,47,51,40,43,43,55,55,57,62,64,59,56,81,90,106,121,118,160,155,223,236,303,270,349,380,416,436,478,541,538,593,605,598,599,607,586,586,529,541,479,412,410,373,307,295,268,219,170,134,114,98,69,62,46,37,29,21,17,16,13,2,7,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/07056.TIF,train
1,16830,oxy-sulfide,3,1-16830,55,133,3.328,2.942,3.941,2.598,2.833,1.4,6.799,13.122,0.56,0.72,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,2,2,2,2,3,6,2,1,4,2,2,2,1,1,1,1,2,1,6,5,1,2,5,6,1,3,2,2,3,3,1,2,2,2,2,7,4,5,6,1,2,4,4,6,4,6,1,5,4,2,5,1,7,5,18,11,9,10,12,6,17,16,16,6,13,11,14,16,20,15,20,15,14,20,17,16,20,14,14,17,17,18,10,14,9,17,18,16,8,10,10,13,7,11,4,9,11,4,5,16,7,10,10,10,11,12,15,15,23,13,32,27,39,57,55,69,116,114,163,205,219,261,281,345,378,421,471,580,610,658,661,693,699,737,675,673,708,664,617,602,529,476,431,365,319,295,247,205,166,134,97,87,71,37,49,44,24,23,17,9,9,10,3,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/16830.TIF,train
1,12992,oxide,1,1-12992,43,68,3.672,3.508,3.786,3.527,3.539,1.1,9.666,14.049,0.86,0.93,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,9,7,6,14,11,20,12,28,21,21,30,33,35,50,31,36,37,29,39,33,27,33,27,24,18,18,12,12,7,5,10,9,10,5,6,4,4,4,4,2,6,5,6,2,4,3,2,4,3,6,5,3,2,1,3,4,3,6,3,2,4,5,3,3,2,2,5,3,4,5,5,3,6,4,1,2,2,5,2,2,1,4,3,7,4,1,2,2,3,2,1,5,4,5,2,3,2,2,5,3,2,3,1,3,1,2,1,4,3,2,3,1,2,7,4,6,3,3,4,4,4,3,6,3,3,1,4,4,3,9,4,2,2,6,2,9,3,3,11,7,7,3,9,11,14,23,17,32,33,66,77,81,119,135,153,224,240,292,329,403,443,465,572,538,610,653,700,726,702,719,667,720,650,650,588,519,457,459,372,321,247,253,213,164,141,100,82,75,57,40,29,23,16,12,10,4,3,7,3,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/12992.TIF,train
3,7648,sulfide,2,3-7648,73,98,2.121,1.992,2.44,1.855,1.913,1.3,3.116,6.959,0.67,0.78,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3,2,4,4,3,8,7,9,9,6,6,8,5,11,5,5,7,7,3,1,6,2,7,4,3,5,3,2,0,4,2,3,2,2,2,4,3,2,3,0,5,2,0,0,2,2,1,3,2,2,5,0,4,2,1,4,4,0,2,2,2,1,4,4,2,2,4,0,2,5,1,3,2,1,2,3,3,2,7,2,2,4,3,3,1,2,3,2,1,2,2,4,1,1,4,2,1,3,2,1,4,3,1,1,3,2,2,2,3,3,2,1,2,5,7,3,1,0,0,4,0,4,4,2,6,8,8,20,18,16,16,42,36,65,90,100,140,174,201,198,285,301,337,419,466,529,587,611,680,742,675,765,770,731,697,716,708,631,590,504,488,438,380,291,307,243,201,169,131,121,84,63,49,42,33,19,18,17,7,8,5,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/07648.TIF,train
3,14092,oxide,1,3-14092,114,78,2.784,2.657,2.914,2.659,2.737,1.1,5.543,9.724,0.83,0.94,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5,4,2,7,11,6,22,13,14,14,22,16,13,24,18,14,14,12,7,9,9,7,6,5,4,4,5,4,6,3,4,6,4,10,4,4,3,4,3,3,3,5,1,3,3,4,4,2,1,3,4,2,3,6,6,3,2,4,0,1,1,2,2,2,3,1,2,2,4,1,2,7,3,1,2,1,1,4,3,1,3,2,2,3,4,0,4,6,3,0,1,2,2,0,4,9,2,2,3,4,1,2,3,2,3,4,4,2,4,0,2,5,4,1,3,3,4,2,5,3,6,3,1,4,2,3,3,5,3,6,2,1,2,3,5,2,2,2,3,3,5,3,4,6,9,10,10,21,26,32,48,33,71,72,99,130,182,192,217,293,323,356,421,461,574,556,632,644,667,741,704,692,722,711,670,695,633,545,523,465,408,342,299,265,225,214,181,150,108,95,68,57,39,34,18,17,10,9,2,4,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/14092.TIF,train
3,9698,non-inclusion,0,3-9698,84,134,1.757,1.432,2.177,1.091,1.21,1.8,1.609,6.348,0.43,0.56,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,2,1,0,1,1,2,0,0,2,3,1,1,4,4,1,1,1,1,4,1,1,2,1,0,3,1,0,1,1,2,4,0,1,2,1,1,3,3,1,2,1,1,3,1,0,0,3,4,2,2,3,2,2,6,0,2,3,2,3,0,2,1,1,0,1,2,3,4,1,2,5,5,1,5,5,1,5,1,4,4,4,6,3,6,4,8,8,7,12,13,15,23,31,31,37,65,68,107,130,163,211,204,300,330,369,396,470,551,562,594,712,711,740,734,785,719,742,718,681,626,619,560,503,429,427,306,281,211,190,184,147,111,94,69,57,30,36,21,11,12,8,5,5,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_3/imgs/09698.TIF,train
1,18896,non-inclusion,0,1-18896,65,138,3.414,3.041,3.703,3.113,3.493,1.1,7.264,14.936,0.67,0.94,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,2,2,0,1,1,0,1,2,3,1,1,2,0,2,1,0,5,0,1,3,3,7,0,2,2,2,1,3,1,6,0,4,4,3,3,4,3,5,5,4,5,2,1,4,5,2,10,7,3,7,2,5,5,3,4,8,9,5,7,10,11,6,5,10,8,5,10,6,7,11,10,10,5,7,7,13,12,15,9,26,20,22,18,14,11,11,18,15,15,18,10,16,21,18,13,12,9,17,18,14,17,19,15,17,9,21,15,19,10,18,24,17,7,20,16,18,24,19,16,24,24,24,40,36,38,52,62,75,93,103,146,160,191,214,275,285,360,372,448,464,529,552,589,600,668,702,676,667,660,676,635,597,581,495,480,433,382,319,284,246,199,186,150,135,93,79,72,44,45,28,12,13,12,9,10,3,4,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,data/raw/heat_1/imgs/18896.TIF,train
1,7527,non-inclusion,0,1-7527,26,147,2.204,1.834,2.705,1.608,1.635,1.7,2.642,9.638,0.46,0.6,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,2,1,3,1,0,1,1,4,2,2,3,2,3,2,1,3,3,2,4,1,2,5,4,3,2,2,4,3,6,6,6,5,3,5,3,2,3,3,5,7,8,8,1,6,5,6,8,6,9,5,10,5,11,9,8,7,9,4,7,8,13,9,11,12,16,11,14,13,27,24,31,45,39,55,75,86,110,141,172,210,247,298,367,383,422,528,519,597,626,651,713,757,726,707,755,724,685,646,620,574,549,453,420,345,351,255,193,177,159,132,96,84,63,51,31,27,25,9,8,12,4,7,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_1/imgs/07527.TIF,train
4,4246,oxide,1,4-4246,46,80,4.741,4.39,5.296,4.12,4.13,1.3,15.14,18.366,0.69,0.78,0.092773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,1,4,8,10,16,12,19,19,28,33,28,30,29,36,38,32,42,41,31,46,41,42,41,45,26,31,32,30,28,21,22,19,17,14,9,14,8,7,11,9,11,6,10,5,10,10,9,9,8,9,12,2,8,8,16,10,4,9,7,11,11,12,3,11,11,7,15,12,3,8,5,14,15,7,11,5,12,6,8,13,10,5,8,14,4,10,11,12,11,14,2,10,5,7,9,9,10,7,7,13,8,11,5,7,3,12,7,8,9,15,13,4,6,9,8,7,7,13,8,5,7,12,15,7,11,7,4,10,7,16,8,12,16,11,7,7,15,8,10,11,27,25,31,34,19,44,56,70,86,120,142,175,210,236,266,293,352,420,439,518,586,612,644,636,686,703,634,655,630,622,601,543,483,466,406,354,312,281,195,193,152,128,99,75,54,42,32,30,21,24,10,7,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data/raw/heat_4/imgs/04246.TIF,train
